file,url,current_title,current_meta,h1,target_query,clicks,impressions,ctr,position,expected_ctr,ctr_gap,bucket,opportunity,reason
content/blog/how-to-export-microsoft-copilot-conversation-history.mdx,https://www.llmnesia.com/blog/how-to-export-microsoft-copilot-conversation-history,How to Export Copilot Chat History & Save as PDF – Full Guide,Learn how to save a Copilot chat as a PDF and export your full Microsoft Copilot conversation history. Step‑by‑step instructions.,How to Export Copilot Chat History & Save as PDF – Full Guide,export microsoft copilot conversation history,63,8986,0.007,7.17,0.0378,0.0308,A,276.8,action-intent recover/export/search/find/organize
content/blog/recover-deleted-chatgpt-project.mdx,https://www.llmnesia.com/blog/recover-deleted-chatgpt-project,Can You Recover a Deleted ChatGPT Project? (What's Possible),"Deleting a ChatGPT Project removes it and its associated conversations, files, and instructions. This guide explains what's possible after deleting a ChatGPT Project, including Plus tier differences and recovery limitations.",Can You Recover a Deleted ChatGPT Project? (What's Possible),recover deleted chatgpt project,25,8311,0.003,7.89,0.0328,0.0298,A,247.4,action-intent recover/export/search/find/organize
content/blog/how-to-find-old-gemini-conversations.mdx,https://www.llmnesia.com/blog/how-to-find-old-gemini-conversations,How to Find Old Gemini Conversations,"Gemini stores your conversation history but offers no native full-text search. This guide covers every method for finding a specific old Gemini conversation, from scrolling the sidebar to searching Google Activity.",How to Find Old Gemini Conversations,find old gemini conversations,12,8050,0.0015,8.53,0.0299,0.0284,A,228.5,action-intent recover/export/search/find/organize
content/blog/how-to-resume-an-old-ai-conversation.mdx,https://www.llmnesia.com/blog/how-to-resume-an-old-ai-conversation,How to Resume an Old AI Conversation (Without Losing the Context),"Picking up an old ChatGPT, Claude, or Gemini chat is more than reopening it. Here is how to find the right conversation, restore context, and continue without re-explaining everything.",How to Resume an Old AI Conversation (Without Losing the Context),how to resume an old ai conversation,35,5895,0.0059,6.7,0.042,0.0361,A,212.6,action-intent recover/export/search/find/organize
content/blog/how-to-export-grok-conversation-history.mdx,https://www.llmnesia.com/blog/how-to-export-grok-conversation-history,How to Export Grok Conversation History (Save and Back Up Your Chats),"Grok does not offer a native bulk export of conversation history. This guide covers every available method for saving, backing up, and archiving your Grok conversations — from manual copy to automatic local indexing.",How to Export Grok Conversation History (Save and Back Up Your Chats),export grok conversation history,10,6555,0.0015,8.22,0.0311,0.0296,A,194.0,action-intent recover/export/search/find/organize
content/blog/how-to-find-old-character-ai-conversations.mdx,https://www.llmnesia.com/blog/how-to-find-old-character-ai-conversations,How to Find Old Character.AI Conversations,Character.AI stores your chat history in your profile but offers no search across conversation content. This guide covers every method for finding a specific old Character.AI conversation or character chat.,How to Find Old Character.AI Conversations,find old character ai conversations,74,5584,0.0133,6.14,0.0476,0.0343,A,191.8,action-intent recover/export/search/find/organize
content/blog/recover-deleted-microsoft-copilot-conversation.mdx,https://www.llmnesia.com/blog/recover-deleted-microsoft-copilot-conversation,Recover Deleted Microsoft Copilot Chats (2026),"Lost a Copilot chat? Here is whether deleted Microsoft Copilot conversations can be recovered, the methods that work, and how to prevent it.",Recover Deleted Microsoft Copilot Chats (2026),recover deleted microsoft copilot conversation,59,7247,0.0081,7.71,0.034,0.0259,A,187.6,action-intent recover/export/search/find/organize
content/blog/search-character-ai-conversation-history.mdx,https://www.llmnesia.com/blog/search-character-ai-conversation-history,How to See Your Character.AI (c.ai) Conversation History — Search & Access Guide,"Yes, you can view your Character.AI (c.ai) chat history. Learn how to access, search, and save your c.ai conversations — and how to search across all your AI chats privately with LLMnesia.",How to See Your Character.AI (c.ai) Conversation History — Search & Access Guide,character ai conversation history,61,5371,0.0114,6.48,0.0442,0.0328,A,176.4,action-intent recover/export/search/find/organize
content/blog/does-chatgpt-keep-deleted-conversations.mdx,https://www.llmnesia.com/blog/does-chatgpt-keep-deleted-conversations,Does ChatGPT Keep Deleted Conversations? (Retention Explained),"When you delete a ChatGPT conversation it leaves your account view, but OpenAI's servers may keep it for a window afterward. This guide explains ChatGPT's deletion and retention policy, how legal holds can override it, and what it means for your privacy.",Does ChatGPT Keep Deleted Conversations? (Retention Explained),does chatgpt keep deleted conversations,25,6695,0.0037,8.59,0.0296,0.0259,A,173.4,action-intent recover/export/search/find/organize
content/blog/how-to-organize-grok-conversation-history.mdx,https://www.llmnesia.com/blog/how-to-organize-grok-conversation-history,How to Organize Your Grok Conversation History,"Grok has no folders or tags for chats. Here is how to organize your Grok conversation history and find past work fast, including search tools.",How to Organize Your Grok Conversation History,organize grok conversation history,6,4928,0.0012,7.89,0.0328,0.0316,A,155.5,action-intent recover/export/search/find/organize
content/blog/gemini-conversation-disappeared.mdx,https://www.llmnesia.com/blog/gemini-conversation-disappeared,Gemini Conversation Disappeared? How to Find a Chat That Vanished,"A Gemini conversation that has vanished is usually still recoverable. Here is how to find a disappeared chat, the common causes tied to your Google Account, and how to prevent it.",Gemini Conversation Disappeared? How to Find a Chat That Vanished,gemini conversation disappeared,16,4980,0.0032,7.71,0.034,0.0308,A,153.5,action-intent recover/export/search/find/organize
content/blog/do-ai-chats-get-deleted.mdx,https://www.llmnesia.com/blog/do-ai-chats-get-deleted,Do AI Chats Get Deleted? What Happens to Your Conversation History,"AI chats are not deleted automatically on most platforms; they stay in your history until you delete them, with deletion timing and recoverability set by each provider's policy. This guide explains what actually happens to your conversations across ChatGPT, Claude, Gemini, and others.",Do AI Chats Get Deleted? What Happens to Your Conversation History,do ai chats get deleted,13,5134,0.0025,7.99,0.0321,0.0295,A,151.6,action-intent recover/export/search/find/organize
content/blog/how-to-export-perplexity-conversation-history.mdx,https://www.llmnesia.com/blog/how-to-export-perplexity-conversation-history,How to Export Perplexity Conversation History (Save Your Research),"Perplexity saves your research threads in your Library — but there's no bulk export option. This guide covers every method for saving, sharing, and archiving your Perplexity searches and answers.",How to Export Perplexity Conversation History (Save Your Research),export perplexity conversation history,13,4743,0.0027,8.56,0.0298,0.027,A,128.2,action-intent recover/export/search/find/organize
content/blog/recover-deleted-deepseek-conversation.mdx,https://www.llmnesia.com/blog/recover-deleted-deepseek-conversation,Can You Recover a Deleted DeepSeek Conversation? (What's Possible),"Deleted DeepSeek conversations are not recoverable through the interface. This guide covers what actually happens when you delete a DeepSeek conversation, where to look for partial copies, and how to prevent the problem going forward.",Can You Recover a Deleted DeepSeek Conversation? (What's Possible),recover deleted deepseek conversation,51,2990,0.0171,5.26,0.0594,0.0423,A,126.5,action-intent recover/export/search/find/organize
content/blog/chatgpt-conversation-disappeared.mdx,https://www.llmnesia.com/blog/chatgpt-conversation-disappeared,ChatGPT Conversation Disappeared? How to Find a Chat That Vanished,"A ChatGPT conversation that has vanished is usually still recoverable. Here is a step-by-step way to find a disappeared chat, the common causes, and how to stop it happening again.",ChatGPT Conversation Disappeared? How to Find a Chat That Vanished,chatgpt conversation disappeared,19,4637,0.0041,8.67,0.0293,0.0252,A,117.0,action-intent recover/export/search/find/organize
content/blog/search-gemini-conversation-history.mdx,https://www.llmnesia.com/blog/search-gemini-conversation-history,How to Search Gemini Conversation History (and Browse Public Chats),"Google Gemini saves your conversations, but searching them by content isn't straightforward — native search is title-based and limited. This guide covers five practical methods to find old Gemini conversations, including cross-platform search for users who also use ChatGPT or Claude.",How to Search Gemini Conversation History (and Browse Public Chats),search gemini conversation history,5,4514,0.0011,10.12,0.0242,0.0231,A,104.1,action-intent recover/export/search/find/organize
content/blog/how-to-delete-all-chatgpt-conversations.mdx,https://www.llmnesia.com/blog/how-to-delete-all-chatgpt-conversations,How to Delete All ChatGPT Conversations (and What Happens to the Data),"You can clear your entire ChatGPT history in a few clicks, or remove conversations one at a time. Here is how to delete all chats, what actually gets removed, and how to keep what matters.",How to Delete All ChatGPT Conversations (and What Happens to the Data),how to delete all chatgpt conversations,5,4213,0.0012,9.77,0.0257,0.0245,A,103.2,action-intent recover/export/search/find/organize
content/blog/recover-deleted-character-ai-conversation.mdx,https://www.llmnesia.com/blog/recover-deleted-character-ai-conversation,Can You Recover a Deleted Character.AI Conversation? (What's Possible),"Deleting a Character.AI chat removes it from your history and there is no built-in undo. This guide explains what is actually possible after deleting a Character.AI conversation, the narrow recovery window, and how to prevent the loss next time.",Can You Recover a Deleted Character.AI Conversation? (What's Possible),recover deleted character ai conversation,32,3724,0.0086,7.58,0.0349,0.0263,A,98.1,action-intent recover/export/search/find/organize
content/blog/how-to-find-old-grok-conversations.mdx,https://www.llmnesia.com/blog/how-to-find-old-grok-conversations,How to Find Old Grok Conversations,"Grok's conversation history is stored in the sidebar but has no full-text search. This guide covers every method for finding a specific old Grok conversation, from sidebar scanning to local indexing tools.",How to Find Old Grok Conversations,find old grok conversations,10,3251,0.0031,7.89,0.0328,0.0297,A,96.5,action-intent recover/export/search/find/organize
content/blog/ai-chat-history-broken-native-search.mdx,https://www.llmnesia.com/blog/ai-chat-history-broken-native-search,AI Chat History Search Is Broken — Here's Why Native Search Fails,"Native AI chat history search fails for three structural reasons: title-only indexing, single-platform silos, and no jump-back links. This article explains why these limitations exist, at what scale they become a real problem, and what actually fixes them.",AI Chat History Search Is Broken — Here's Why Native Search Fails,ai chat history search not working,8,2275,0.0035,8.47,0.0301,0.0266,A,60.5,action-intent recover/export/search/find/organize
content/blog/how-to-find-old-claude-conversations.mdx,https://www.llmnesia.com/blog/how-to-find-old-claude-conversations,How to Find Old Claude Conversations,"Claude's conversation history is stored in the sidebar but lacks full-text search. This guide covers every method for locating a specific old Claude conversation, from browser search to local indexing tools.",How to Find Old Claude Conversations,find old claude conversations,4,2046,0.002,8.33,0.0307,0.0287,A,58.8,action-intent recover/export/search/find/organize
content/blog/claude-history-not-loading-fix.mdx,https://www.llmnesia.com/blog/claude-history-not-loading-fix,Claude History Not Loading: Causes and Fixes,"Claude conversation history sometimes fails to load — showing a blank sidebar, missing conversations, or a spinner that never resolves. This guide covers every known cause and the specific fix for each.",Claude History Not Loading: Causes and Fixes,claude history not loading,1,2067,0.0005,9.55,0.0263,0.0259,A,53.5,action-intent recover/export/search/find/organize
content/blog/meta-ai-history-not-loading-fix.mdx,https://www.llmnesia.com/blog/meta-ai-history-not-loading-fix,Meta AI History Not Loading: Causes and Fixes,"Meta AI history not showing up on meta.ai, WhatsApp, Instagram, or Facebook? Because Meta AI runs across several surfaces, missing history usually has a surface-specific cause. This guide covers each one and the fix.",Meta AI History Not Loading: Causes and Fixes,meta ai history not loading,6,1356,0.0044,6.62,0.0428,0.0384,A,52.0,action-intent recover/export/search/find/organize
content/blog/chatgpt-history-not-loading-fix.mdx,https://www.llmnesia.com/blog/chatgpt-history-not-loading-fix,ChatGPT History Not Loading: Causes and Fixes,"ChatGPT conversation history sometimes fails to load — showing a blank sidebar, spinner that never resolves, or missing conversations. This guide covers every known cause of ChatGPT history loading problems and the fix for each.",ChatGPT History Not Loading: Causes and Fixes,chatgpt history not loading,3,1780,0.0017,8.36,0.0306,0.0289,A,51.4,action-intent recover/export/search/find/organize
content/blog/how-to-organize-perplexity-conversation-history.mdx,https://www.llmnesia.com/blog/how-to-organize-perplexity-conversation-history,How to Organise Perplexity Conversation History,"Perplexity conversation history grows quickly with research threads, Pages, and Spaces. This guide covers every available method for organising your Perplexity history — from Library features to external tools — so you can find past research when you need it.",How to Organise Perplexity Conversation History,organize perplexity conversation history,3,1639,0.0018,8.26,0.031,0.0291,A,47.7,action-intent recover/export/search/find/organize
content/blog/how-to-export-gemini-conversation-history.mdx,https://www.llmnesia.com/blog/how-to-export-gemini-conversation-history,How to Export Your Gemini Conversation History (Google Takeout),"Gemini conversation history is tied to your Google account and can be exported through Google Takeout. This guide explains where Gemini data lives, how to export it, what format you receive, and how to search the exported conversations.",How to Export Your Gemini Conversation History (Google Takeout),export gemini conversation history,4,1989,0.002,9.97,0.0251,0.0231,A,45.9,action-intent recover/export/search/find/organize
content/blog/how-to-find-old-microsoft-copilot-conversations.mdx,https://www.llmnesia.com/blog/how-to-find-old-microsoft-copilot-conversations,How to Find Old Microsoft Copilot Conversations (Step-by-Step),"Having trouble locating a previous chat in Microsoft Copilot? Learn how Copilot manages history, how to navigate the recent activity tab, and strategies for permanent retrieval of your important Copilot conversations.",How to Find Old Microsoft Copilot Conversations (Step-by-Step),how to find old microsoft copilot conversations,10,2136,0.0047,9.79,0.0256,0.0209,A,44.7,action-intent recover/export/search/find/organize
content/blog/microsoft-copilot-history-not-loading-fix.mdx,https://www.llmnesia.com/blog/microsoft-copilot-history-not-loading-fix,Microsoft Copilot History Not Loading: Causes and Fixes,"Microsoft Copilot conversation history sometimes fails to load — showing a blank activity pane, missing conversations, or a sidebar that never renders. This guide covers every known cause and fix for Copilot history loading problems.",Microsoft Copilot History Not Loading: Causes and Fixes,microsoft copilot history not loading,9,1526,0.0059,8.19,0.0312,0.0253,A,38.7,action-intent recover/export/search/find/organize
content/blog/how-to-share-a-chatgpt-conversation.mdx,https://www.llmnesia.com/blog/how-to-share-a-chatgpt-conversation,How to Share a ChatGPT Conversation (and What the Recipient Can See),"ChatGPT lets you share a conversation as a link that shows a snapshot of the chat. Here is how to create, manage, and delete share links, what recipients can and cannot see, and the alternatives.",How to Share a ChatGPT Conversation (and What the Recipient Can See),how to share a chatgpt conversation,2,1308,0.0015,8.87,0.0285,0.027,A,35.3,action-intent recover/export/search/find/organize
content/blog/search-deepseek-conversation-history.mdx,https://www.llmnesia.com/blog/search-deepseek-conversation-history,How to Search DeepSeek Conversation History,"DeepSeek saves your conversations in a sidebar at chat.deepseek.com, but finding specific past answers requires scrolling through a flat list with no search. This guide covers every method for locating old DeepSeek conversations, plus privacy considerations unique to the platform.",How to Search DeepSeek Conversation History,search deepseek conversation history,7,1170,0.006,7.72,0.034,0.028,A,32.7,action-intent recover/export/search/find/organize
content/blog/qwen-history-not-loading-fix.mdx,https://www.llmnesia.com/blog/qwen-history-not-loading-fix,Qwen History Not Loading: Causes and Fixes,"Qwen conversation history not showing up at chat.qwen.ai, with a blank sidebar or missing conversations? This guide covers every known cause of Qwen history loading problems and the specific fix for each.",Qwen History Not Loading: Causes and Fixes,qwen history not loading,2,558,0.0036,6.65,0.0425,0.0389,A,21.7,action-intent recover/export/search/find/organize
content/blog/character-ai-history-not-loading-fix.mdx,https://www.llmnesia.com/blog/character-ai-history-not-loading-fix,Character.AI History Not Loading: How to Fix It,"Character.AI conversation history not showing up or failing to load? This guide covers the specific causes and fixes for Character.AI history loading problems, from browser cache issues to account sync failures.",Character.AI History Not Loading: How to Fix It,character ai history not loading,0,603,0.0,8.73,0.0291,0.0291,A,17.5,action-intent recover/export/search/find/organize
content/blog/how-to-export-qwen-conversation-history.mdx,https://www.llmnesia.com/blog/how-to-export-qwen-conversation-history,How to Export Qwen Conversation History (Alibaba AI),"Qwen, Alibaba's AI assistant, does not offer a one-click conversation export on its consumer surface. This guide covers every practical way to get a copy of your Qwen chat history, from manual saving to a local-first index that keeps a searchable archive on your device.",How to Export Qwen Conversation History (Alibaba AI),how to export qwen conversation history,0,295,0.0,5.46,0.0566,0.0566,A,16.7,action-intent recover/export/search/find/organize
content/blog/how-to-find-old-deepseek-conversations.mdx,https://www.llmnesia.com/blog/how-to-find-old-deepseek-conversations,How to Find Old DeepSeek Conversations,"DeepSeek stores conversation history in the sidebar but offers no full-text search. This guide covers every method for finding a specific old DeepSeek conversation, from sidebar scanning to local indexing.",How to Find Old DeepSeek Conversations,find old deepseek conversations,2,416,0.0048,6.89,0.0401,0.0353,A,14.7,action-intent recover/export/search/find/organize
content/blog/how-to-organize-microsoft-copilot-conversation-history.mdx,https://www.llmnesia.com/blog/how-to-organize-microsoft-copilot-conversation-history,How to Organize Microsoft Copilot Conversation History,"Is your Microsoft Copilot history a mess of generic titles? Learn practical strategies to organize your Copilot chats, leverage Edge's features, and build a retrievable AI knowledge base.",How to Organize Microsoft Copilot Conversation History,how to organize microsoft copilot conversation history,14,878,0.0159,7.95,0.0323,0.0164,A,14.4,action-intent recover/export/search/find/organize
content/blog/how-to-backup-ai-conversations.mdx,https://www.llmnesia.com/blog/how-to-backup-ai-conversations,"How to Backup All Your AI Conversations (ChatGPT, Claude, Gemini, and More)","Your AI conversations contain decisions, solutions, and research that took real time to generate. Backing them up protects against account loss, platform changes, and the natural drift of conversation history. This guide covers backup options for every major AI platform.","How to Backup All Your AI Conversations (ChatGPT, Claude, Gemini, and More)",backup ai conversations,1,548,0.0018,8.99,0.028,0.0262,A,14.4,action-intent recover/export/search/find/organize
content/blog/how-to-move-ai-chat-history-to-a-new-computer.mdx,https://www.llmnesia.com/blog/how-to-move-ai-chat-history-to-a-new-computer,How to Move Your AI Chat History to a New Computer,"Getting a new computer does not have to mean losing access to your AI conversations. Here is how chat history actually transfers across devices, and how to keep a portable, searchable copy.",How to Move Your AI Chat History to a New Computer,move ai chat history to new computer,1,423,0.0024,7.42,0.0361,0.0337,A,14.3,action-intent recover/export/search/find/organize
content/blog/search-meta-ai-conversation-history.mdx,https://www.llmnesia.com/blog/search-meta-ai-conversation-history,How to Find Old Meta AI Conversations (History Guide),"Meta AI saves your conversations across meta.ai, WhatsApp, Instagram, and Facebook — but each platform keeps a separate history with no cross-surface search. This guide covers every method for finding old Meta AI chats.",How to Find Old Meta AI Conversations (History Guide),meta ai conversation history,0,412,0.0,8.29,0.0308,0.0308,A,12.7,action-intent recover/export/search/find/organize
content/blog/how-to-export-meta-ai-conversation-history.mdx,https://www.llmnesia.com/blog/how-to-export-meta-ai-conversation-history,How to Export Meta AI Conversation History,"Meta AI conversations are scattered across meta.ai, WhatsApp, Instagram, and Facebook, and each surface exports differently. This guide covers every option for saving and exporting your Meta AI conversation history across all of them.",How to Export Meta AI Conversation History,export meta ai conversation history,3,370,0.0081,7.02,0.0389,0.0308,A,11.4,action-intent recover/export/search/find/organize
content/blog/find-old-chatgpt-conversations.mdx,https://www.llmnesia.com/blog/find-old-chatgpt-conversations,How to Find Old ChatGPT Conversations Faster (6 Methods),ChatGPT's native history search works for recent chats but breaks down at volume. This guide covers six practical methods — from keyword anchoring and data exports to conversation indexing extensions — that reliably surface old prompts and answers even months later.,How to Find Old ChatGPT Conversations Faster (6 Methods),find old chatgpt conversations,2,469,0.0043,9.0,0.028,0.0237,A,11.1,action-intent recover/export/search/find/organize
content/blog/search-chatgpt-conversation-history.mdx,https://www.llmnesia.com/blog/search-chatgpt-conversation-history,How to Search ChatGPT Conversation History: Natively and Locally,"ChatGPT now offers native search, but is it enough? Learn how to search your ChatGPT history effectively, understand the limitations of the native tool, and discover local-first indexing for instant, cross-platform retrieval.",How to Search ChatGPT Conversation History: Natively and Locally,search chatgpt conversation history,0,405,0.0,9.68,0.026,0.026,A,10.5,action-intent recover/export/search/find/organize
content/blog/how-to-organize-chatgpt-conversation-history.mdx,https://www.llmnesia.com/blog/how-to-organize-chatgpt-conversation-history,How to Organise ChatGPT Conversation History,ChatGPT conversation history grows quickly and becomes hard to navigate. This guide covers every available method for organising your ChatGPT history — from built-in Projects to browser extensions — so you can find past conversations when you need them.,How to Organise ChatGPT Conversation History,organize chatgpt conversation history,1,374,0.0027,8.84,0.0286,0.026,A,9.7,action-intent recover/export/search/find/organize
content/blog/how-to-organize-gemini-conversation-history.mdx,https://www.llmnesia.com/blog/how-to-organize-gemini-conversation-history,How to Organise Gemini Conversation History,Gemini conversation history accumulates quickly with no built-in folder system. This guide covers every available method for organising your Gemini history — from conversation renaming to Gems — so you can find past conversations efficiently.,How to Organise Gemini Conversation History,organize gemini conversation history,0,329,0.0,9.16,0.0275,0.0275,A,9.1,action-intent recover/export/search/find/organize
content/blog/grok-history-not-loading-fix.mdx,https://www.llmnesia.com/blog/grok-history-not-loading-fix,Grok History Not Loading: Causes and Fixes,"Grok conversation history sometimes fails to load — showing an empty sidebar, missing conversations, or a page that never fully renders. This guide covers every known cause of Grok history loading problems and the fix for each.",Grok History Not Loading: Causes and Fixes,grok history not loading,0,170,0.0,5.78,0.0521,0.0521,A,8.9,action-intent recover/export/search/find/organize
content/blog/search-notebooklm-conversation-history.mdx,https://www.llmnesia.com/blog/search-notebooklm-conversation-history,How to Search NotebookLM Conversation History,"NotebookLM added chat history in late 2025. But with history tied to individual notebooks and no cross-notebook search, finding a specific past answer takes more than scrolling. This guide covers all methods for searching NotebookLM conversation history.",How to Search NotebookLM Conversation History,search notebooklm conversation history,3,325,0.0092,7.56,0.0351,0.0258,A,8.4,action-intent recover/export/search/find/organize
content/blog/recover-deleted-mistral-conversation.mdx,https://www.llmnesia.com/blog/recover-deleted-mistral-conversation,Can You Recover a Deleted Mistral Conversation? (What's Possible),"Deleted Mistral conversations are not recoverable through the Le Chat interface. This guide covers what actually happens when you delete a Mistral conversation, where to look for partial copies, and how to prevent the problem going forward.",Can You Recover a Deleted Mistral Conversation? (What's Possible),recover deleted mistral conversation,0,143,0.0,5.38,0.0577,0.0577,A,8.2,action-intent recover/export/search/find/organize
content/blog/search-qwen-conversation-history.mdx,https://www.llmnesia.com/blog/search-qwen-conversation-history,How to Search Qwen Conversation History (Alibaba AI),"Qwen — Alibaba's AI assistant — saves your conversations but offers no native full-text search. This guide covers every method for finding old Qwen chats, from sidebar browsing to automatic local indexing with LLMnesia.",How to Search Qwen Conversation History (Alibaba AI),search qwen conversation history,0,184,0.0,6.59,0.0431,0.0431,A,7.9,action-intent recover/export/search/find/organize
content/blog/how-to-find-old-mistral-conversations.mdx,https://www.llmnesia.com/blog/how-to-find-old-mistral-conversations,How to Find Old Mistral Conversations,"Mistral's conversation history is stored in the sidebar with no native full-text search. This guide covers every method for finding a specific old Mistral conversation, from sidebar scanning to local indexing.",How to Find Old Mistral Conversations,find old mistral conversations,3,197,0.0152,5.61,0.0545,0.0392,A,7.7,action-intent recover/export/search/find/organize
content/blog/how-to-export-mistral-conversation-history.mdx,https://www.llmnesia.com/blog/how-to-export-mistral-conversation-history,How to Export Your Mistral (Le Chat) Conversation History,"Le Chat, Mistral's AI assistant, doesn't offer a built-in conversation export. This guide covers every option for saving your Mistral conversation history, how Mistral's API differs from Le Chat, and how to set up ongoing capture so you don't lose access to important exchanges.",How to Export Your Mistral (Le Chat) Conversation History,export mistral conversation history,2,214,0.0093,6.46,0.0444,0.035,A,7.5,action-intent recover/export/search/find/organize
content/blog/deepseek-history-not-loading-fix.mdx,https://www.llmnesia.com/blog/deepseek-history-not-loading-fix,DeepSeek History Not Loading: Causes and Fixes,"DeepSeek conversation history sometimes fails to load — showing a blank sidebar, spinner that never resolves, or missing conversations. This guide covers every known cause of DeepSeek history loading problems and the fix for each.",DeepSeek History Not Loading: Causes and Fixes,deepseek history not loading,1,271,0.0037,8.24,0.031,0.0273,A,7.4,action-intent recover/export/search/find/organize
content/blog/how-to-organize-deepseek-conversation-history.mdx,https://www.llmnesia.com/blog/how-to-organize-deepseek-conversation-history,How to Organise Your DeepSeek Conversation History,"DeepSeek has no folders, projects, or search for conversations. This guide covers practical methods for organising DeepSeek chat history so you can find your work when you need it — from naming conventions to cross-platform indexing tools.",How to Organise Your DeepSeek Conversation History,organize deepseek conversation history,0,191,0.0,7.72,0.034,0.034,A,6.5,action-intent recover/export/search/find/organize
content/blog/how-to-export-claude-conversation-history.mdx,https://www.llmnesia.com/blog/how-to-export-claude-conversation-history,How to Export Your Claude Conversation History,"Claude's data export gives you a downloadable archive of your conversation history. This guide walks through requesting the export, understanding what Anthropic includes, and how to search and use the exported data for your past conversations.",How to Export Your Claude Conversation History,export claude conversation history,2,493,0.0041,11.49,0.0165,0.0125,A,6.2,action-intent recover/export/search/find/organize
